SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
NSE:LALPATHLAB-EQ,Dr. Lal Path Labs Ltd.,EQ,23-DEC-2015,10,1,INE600L01024,10
NSE:LAMBODHARA-EQ,Lambodhara Textiles Limited,EQ,04-FEB-2015,5,1,INE112F01022,5
NSE:LANCORHOL-EQ,Lancor Holdings Limited,EQ,12-MAR-2024,2,1,INE572G01025,2
NSE:LANDMARK-EQ,Landmark Cars Limited,EQ,23-DEC-2022,5,1,INE559R01029,5
NSE:LAOPALA-EQ,La Opala RG Limited,EQ,16-MAR-2007,2,1,INE059D01020,2
NSE:LASA-EQ,Lasa Supergenerics Limited,BE,21-SEP-2017,10,1,INE670X01014,10
NSE:LATENTVIEW-EQ,Latent View Analytics Limited,EQ,23-NOV-2021,1,1,INE0I7C01011,1
NSE:LATTEYS-EQ,Latteys Industries Limited,EQ,23-MAY-2023,2,1,INE262Z01023,2
NSE:LAURUSLABS-EQ,Laurus Labs Limited,EQ,19-DEC-2016,2,1,INE947Q01028,2
NSE:LAXMICOT-EQ,Laxmi Cotspin Limited,EQ,12-NOV-2021,10,1,INE801V01019,10
NSE:LAXMIDENTL-EQ,Laxmi Dental Limited,EQ,20-JAN-2025,2,1,INE0WO601020,2
NSE:LAXMIINDIA-EQ,Laxmi India Finance Limited,EQ,05-AUG-2025,5,1,INE06WU01026,5
NSE:LCCINFOTEC-EQ,LCC Infotech Limited,EQ,02-MAR-2000,2,1,INE938A01021,2
NSE:LEMONTREE-EQ,Lemon Tree Hotels Limited,EQ,09-APR-2018,10,1,INE970X01018,10
NSE:LEXUS-EQ,Lexus Granito (India) Limited,EQ,13-MAR-2023,10,1,INE500X01013,10
NSE:LFIC-EQ,Lakshmi Finance & Industrial Corporation Limited,EQ,15-APR-2015,10,1,INE850E01012,10
NSE:LGBBROSLTD-EQ,LG Balakrishnan & Bros Limited,EQ,30-MAR-2010,10,1,INE337A01034,10
NSE:LGHL-EQ,Laxmi Goldorna House Limited,EQ,10-NOV-2023,10,1,INE258Y01016,10
NSE:LIBAS-EQ,Libas Consumer Products Limited,EQ,23-JUL-2019,10,1,INE908V01012,10
NSE:LIBERTSHOE-EQ,Liberty Shoes Limited,BE,27-SEP-1995,10,1,INE557B01019,10
NSE:LICHSGFIN-EQ,LIC Housing Finance Limited,EQ,29-JUL-1998,2,1,INE115A01026,2
NSE:LICI-EQ,Life Insurance Corporation Of India,EQ,17-MAY-2022,10,1,INE0J1Y01017,10
NSE:LIKHITHA-EQ,Likhitha Infrastructure Limited,EQ,15-OCT-2020,5,1,INE060901027,5
NSE:LINC-EQ,Linc Limited,BE,09-MAR-2015,5,1,INE802B01027,5
NSE:LINCOLN-EQ,Lincoln Pharmaceuticals Limited,EQ,17-DEC-2015,10,1,INE405C01035,10
NSE:LINDEINDIA-EQ,Linde India Limited,EQ,16-JUN-1999,10,1,INE473A01011,10
NSE:LLOYDSE-RE-EQ,Lloyds Enterprises Limited-RE,BE,25-AUG-2025,1,1,INE080I20017,1
NSE:LLOYDSENGG-EQ,LLOYDS ENGINEERING WORKS LIMITED,EQ,18-JUL-2016,1,1,INE093R01011,1
NSE:LLOYDSENT-EQ,Lloyds Enterprises Limited,EQ,17-OCT-2024,1,1,INE080I01025,1
NSE:LLOYDSME-EQ,Lloyds Metals And Energy Limited,EQ,17-JUL-2023,1,1,INE281B01032,1
NSE:LMW-EQ,LMW Limited,EQ,29-MAR-1995,10,1,INE269B01029,10
NSE:LODHA-EQ,Lodha Developers Limited,EQ,19-APR-2021,10,1,INE670K01029,10
NSE:LOKESHMACH-EQ,Lokesh Machines Limited,EQ,05-MAY-2006,10,1,INE397H01017,10
NSE:LORDSCHLO-EQ,Lords Chloro Alkali Limited,BE,28-AUG-2023,10,1,INE846D01012,10
